,BestLevel,Benchmark,BenchmarkLevel,BestNDGroups,BestNWGroups,BenchmarkNDGroups,BenchmarkNWGroups,MIDModel,MIDRandom,MIWModel,MIWRandom,NormDModel,NormDRandom,NormWModel,NormWRandom,EDModel,EDRandom,EWModel,EWRandom
112,3,0,1,11,33,568,882,0.7297967449860174,0.08554150211628311,0.08192062943483176,1.6353356511476574e-06,10.16631585110363,10.246673563088482,3.6234183994311735,4.561319868162267,0.0855664612536016,0.08571340405457564,0.20237590516126766,0.31461449680493536
113,3,0,2,11,33,48,247,0.5435718853658026,0.0063305599733262125,0.03860845725112545,3.254031369771197e-05,10.212895868473844,10.239887168294036,2.8495520194723927,3.924917438982152,0.0070753340655681845,0.007039237642509637,0.07343696396988882,0.10813346580792617
114,3,0,3,11,33,7,29,0.3363103307559566,0.0008893532341982709,0.010512692644906726,3.666723886096735e-05,10.167474945350538,10.200735382755258,2.089279308627746,2.853871693900162,0.0008918691148420539,0.00088732427797652,0.010662329623461244,0.013549960435595575
115,3,0,4,11,33,3,7,0.009628080192354841,0.0003000482264574056,0.0020182682186737667,5.441026439173731e-06,8.967967955472439,10.107516161443783,1.7385917247242513,2.1431802142533414,0.00030046914052951374,0.00029551497246669314,0.0027632512460056143,0.0029173441832273774
116,3,0,5,11,33,2,2,0.008167663144355505,0.00019124898703542711,0.00012849814299555995,1.7626974265595253e-06,8.987810163218816,9.995542701171177,1.2259601280623778,1.516798429332908,0.00014813460253738206,0.00014772570542438947,0.0004815342109088118,0.0004777753024234901
117,3,0,6,11,33,1,2,0.0,0.0,0.00012849814299555995,2.2539391280053086e-06,,,1.2259601280623778,1.5167977479494066,0.0,0.0,0.0004815342109088118,0.00047777533569158255
118,3,0,7,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
119,3,0,8,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
120,3,1,0,11,33,6258,2385,1.246459700284347,0.7850503587028824,0.1800961316535238,0.0,10.20871471611327,10.246150163795726,4.552538451332741,5.058700940052988,0.7563115238914536,0.7826095088566415,0.4964565816770216,0.619809815227827
121,3,1,1,11,33,862,982,0.7447839821866894,0.13201861025250958,0.09463388642685394,0.0016397951210643275,10.155426727525516,10.244840004825688,3.742137306946076,4.6150194702808545,0.129248738576923,0.13015481255386463,0.22986093356478954,0.3405287353263662
122,3,1,2,11,33,82,250,0.5526161082569727,0.012929951426051686,0.04244258679560611,0.00024695353547179435,10.228160958636744,10.243792719878869,2.82159266529166,3.930953511374958,0.012256746714414448,0.012268929083081364,0.07723566768995638,0.10932366432128215
123,3,1,3,11,33,11,43,0.37397105191935837,0.001441198334135909,0.014910588144899655,4.827848361383161e-05,10.273562790406892,10.220984546008491,2.0945473038278575,3.0508229363737565,0.0014862489020860154,0.0014802271647552552,0.015418793704594551,0.02022659715974033
124,3,1,4,11,33,2,6,0.11821212636537884,0.00013960372506778042,0.002820255485866969,7.652443576970213e-06,10.220571850867223,9.996015654206737,1.7718611547387797,2.066104416318672,0.00014778601886708905,0.00014772570515193362,0.0023242266244862036,0.0024276035271854936
125,3,1,5,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
126,3,1,6,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
127,3,2,0,11,33,5387,2202,1.214080653305113,0.7040822424767269,0.17280828063520481,0.0,10.201417143079013,10.246584985469282,4.517376164894578,5.018784380518712,0.6724515150347915,0.7023011163194806,0.47132097841175313,0.5873918783503097
128,3,2,1,11,33,426,490,0.7358853935397071,0.06508272566093506,0.0714456513102178,0.00018726032198827292,10.174563465406766,10.246314518720107,3.8177930418448907,4.267426567684881,0.06444795116754368,0.06449807460376487,0.16046600477414674,0.19706915101671746
129,3,2,2,11,33,35,59,0.5275314131516066,0.005579472068187114,0.018502053710115554,0.00045394402581602013,10.201343762952991,10.239520804464963,2.7861632084572987,3.2089931819882116,0.005096265849049163,0.005068012507372197,0.025689402286480468,0.027745957021634612
